Name,Gender,time_sm,rate_sm,health_rate,productive_wrk,outdoor_time,education,motivation,Info_affairs,entertainment
Sizel,F,2.5,2,3,1,1,1,0,1,1
Rauss,M,7,2,5,0,1,0,0,0,1
Mickey,M,1.5,2,3,3.5,0.375,0,1,1,1
William,M,2,3,1,1,1,0,0,0,1
Rock,M,5.5,3,4,2.5,1.5,0,0,0,1
John,M,4,3,4,0.33,2.5,1,0,1,1
Charles,M,5.5,4,3,2.5,2.5,0,0,0,1
Don,M,1,3,4,3,1,0,0,0,1
Anglena,F,12.5,3,3,2.5,1.5,0,1,0,1
joseph,M,2,3,4,2,7.5,1,0,1,0
James,M,3,4,2,3,2,0,0,0,1
Carron,M,3,2,4,4.5,2.5,1,0,0,0
Julia,F,2.25,3,5,2.25,3,1,1,1,1
Loki,M,4.5,4,2,4.5,1.5,1,0,1,1
Katrine,F,1.5,4,2,15.5,2,0,1,0,0
Sofia,F,6.5,3,3,6.5,2.5,0,0,0,1
Suzan,F,3,0,4,6,3,0,0,0,1
Ganesh,M,3,3,4,2,0,0,0,0,1
Jerime,M,3.5,3,4,1,1.5,0,0,0,1
David,M,3.5,4,3,2,0,0,0,1,0
Donald,M,2,3,5,0,0,0,0,0,1
Jeff,M,0.75,2,2,0.33,2,0,1,0,1
Krish,M,5.5,3,1,0.14,3,0,0,1,1
Kriston,M,5.5,4,3,0.43,4,1,0,1,1
johnny,M,3,2,4,2.5,1,0,0,1,1
Tom,M,4,4,4,4,5,0,1,0,0
Alferado,M,0.5,4,4,0.017,2.5,0,1,0,1
Alison,F,3.5,4,3,2,1,0,0,0,1
Micheal,F,7.5,4,3,2.5,3.5,0,0,0,1
Howly,F,3.5,3,2,2.5,1,0,0,1,0
Lucy,F,6.5,4,4,5.5,4,0,0,0,1
Shelly,F,2.5,4,5,8.5,0,1,0,1,0
Tylla,F,4.5,3,3,2.5,1,0,0,0,1
Alice,F,2.5,3,5,0,0,0,1,0,1
Belley,F,1.16,3,4,1,0.83,0,0,1,1
Mariana,F,5,4,4,2,4,1,1,1,1
Nora ,F,5.5,3,4,7,1,0,1,0,1
Zoya,F,5,3,4,3,2,0,0,1,0
